Общество с ограниченной ответственностью Управляющая компания «Северная»;2624032254;356800, Ставропольский край,  г. Буденновск, Микрорайон 7  д. 31;1092646000380
Общество с ограниченной ответственностью Управляющая компания «Южная»;2624032261;356800, Ставропольский край,  г. Буденновск, Микраройон 8,  д. 11А;1092646000370
Общество с ограниченной ответственностью «Союз»;2632075808;357500, Ставропольский край, г. Пятигорск, ул. 295 Стрелковой дивизии, д. 13 корп. 3;1052600220243
Общество с ограниченной ответственностью «Салют»;2632810349;357500, Ставропольский край, г. Пятигорск, ул. Мира, 39;1132651032975
Общество с ограниченной ответственностью Управляющая компания «ЭК-Рост»;2632800492;357502, Ставропольский край, г. Пятигорск, ул. Кучуры, д. 2;1112651005048
Общество с ограниченной ответственностью Управляющая компания «НАДЕЖДА»;2632086969;357502, Ставропольский край, г. Пятигорск, ул. Университетская, д. 32 а;1072632004356
Общество с ограниченной ответственностью Управляющая компания «Коммунальщик 1»;2632801859;357500, Ставропольский край, г. Пятигорск, ул. Панагюриште, 16 корп. 2;1112651023462
Общество с ограниченной ответственностью Управляющая компания «Строй Ком КМВ»;2632801168;357500, Ставропольский край, г. Пятигорск, ул. Панагюриште, д. 16, корп. 2;1112651013650
Общество с ограниченной ответственностью «Жилье-Сервис»;2626040067;357600, Ставропольский край, г. Ессентуки, ул. Вокзальная, 33 а;1092650000420
Общество с ограниченной ответственностью «Дом Сервис»;2628054259;357700, Ставропольский край,  г. Кисловодск,  ул. Кабардинская, д. 41А;1092628001333
Общество с ограниченной ответственностью «ГОРЖИЛСЕРВИС»;2628801221;357700, Ставропольский край,  г. Кисловодск,  ул. 40 лет Октября, д. 16 кв. 15;1122651032680
Общество с ограниченной ответственностью «Управляющая компания «Альтернатива»;2627800271;357401, Ставропольский край,  г. Железноводск, ул. Московская,  д. 17;1112651019623
Муниципальное бюджетное учреждение Петровского городского округа Ставропольского края «Коммунальное хозяйство»;2617014751;356530, Ставропольский край, Петровский район,  г. Светлоград,  ул. Шоссейная,  д. 10;1202600011349
Общество с ограниченной ответственностью «РЕМОНТНО-ЭКСПЛУАТАЦИОННЫЙ УЧАСТОК 1»;2631804744;357108, Ставропольский край,  г. Невинномысск, ул. Менделеева, 34А;1132651027398
Муниципальное унитарное предприятие жилищно-коммунального хозяйства Изобильненского городского округа Ставропольского края поселка Рыздвяного;2607017263;356110, Ставропольский край, Изобильненский район,  пос. Рыздвяный, ул. Южная, д. 3;1032600036611
ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ «ЖИЛЬЕ-СЕРВИС ГОРОДА МИХАЙЛОВСКА»;2623023000;356245, Ставропольский край,  г. Михайловск,  ул. Гоголя, 111/1;1082645000690
ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ «ЦЕНТР ОБСЛУЖИВАНИЯ МКД ШПАКОВСКОГО РАЙОНА»;2623025293;356245, Ставропольский край,  г. Михайловск,  ул. Гоголя, 111/1;1152651001612
Общество с ограниченной ответственностью «СтройГрад-Сервис»;2636810364;355021, Ставропольский край,  г. Ставрополь,  пр. 1 Юго-Западный, 3, офис 13;1142651030510
Общество с ограниченной ответственностью «Жилищно-эксплуатационное управление № 4»;2636809249;355006, Ставропольский край,  г. Ставрополь, просп. Карла Маркса, 69;1142651015033
Общество с ограниченной ответственностью «Уют плюс»;2635819036;355047, Ставропольский край,  г. Ставрополь,  ул. Октябрьская,  д. 184, литер В, каб. 302;1132651005541
Общество с ограниченной ответственностью «Управляющая компания «На Чехова»;2634076853;355013, Ставропольский край,  г. Ставрополь,  ул. Чехова, д. 55;1072635013230
Общество с ограниченной ответственностью «Благополучие»;2635134787;355000, Ставропольский край,  г. Ставрополь,  ул. Серова, д. 9, корп. 1, оф. 2,3,7;1102635007386
Общество с ограниченной ответственностью «Эвилин-экспо»;2635118591;355004, Ставропольский край,  г. Ставрополь, пер. Крупской, д. 29, офис 303;1082635017937
ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ «КОНТИНЕНТ»;2631805674;357108, Ставропольский край,  г. Невинномысск, ул. 50 лет Октября, д. 8А;1142651014043
Общество с ограниченной ответственностью Управляющая Компания «Перспектива»;2628046868;357700, Ставропольский край,  г. Кисловодск,  ул. 40 лет Октября, 35;1062628007166
